sample_id	read_id	read_len	read_qscore	channel	start_time	end_time	decision	fastp_status	is_mapped	is_uniq	contig_id
sample	4fa1056a-801c-41c8-a85e-11dab48b4954	498	10.977100	226	157.69125	159.381	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	0a87d954-2090-4a3f-a569-c00d4a117aa4	553	10.391415	133	157.84025	159.37324999999998	signal_negative	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	a544411b-3a83-433a-bfb1-8bf403e15e8c	7937	10.355569	132	139.4715	158.873	signal_positive	True	True	True	NC_001416.1
sample	644159c9-23a4-4e84-9a91-5bc9f645c4a8	642	8.708356	107	156.96425	158.6555	data_service_unblock_mux_change	False	False	True	
sample	cbc3896a-7f0c-4adf-b1b7-f46c09f5b8e6	1533	10.334627	19	155.38175	158.79575	signal_positive	False	False	True	
sample	30072404-4ebd-404d-af00-bc060e4e1c3a	273	8.868852	6	157.27425	158.906	data_service_unblock_mux_change	False	False	True	
sample	4d241ccf-d42a-48e2-ae5f-f5009e1a48ca	3499	10.712438	106	149.62175	159.0955	signal_positive	False	False	True	
sample	3a6e6fa2-2856-4e62-8d09-24a7aefa807d	452	10.843286	91	157.065	158.63975	signal_negative	True	False	True	
sample	afd58deb-baf5-4541-a809-8e3a674b8cdb	525	11.646356	90	156.98775	158.65550000000002	data_service_unblock_mux_change	True	False	True	
sample	d6e53b7d-86c3-4e0e-b15b-80352a7f6b96	340	10.903955	67	157.76425	159.09125	signal_negative	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	1017cbbb-f135-44c1-bb95-fef1ac687ab0	345	10.148433	43	157.6965	159.09099999999998	signal_negative	False	False	True	
sample	d9452aad-0bc6-4256-8f42-f8d49827fcf2	1589	10.725541	460	155.9085	160.1065	signal_positive	True	True	True	NC_001416.1
sample	4808ad9d-5363-4c36-a0ca-1628725f8d30	229	8.504995	363	159.5735	160.42849999999999	signal_positive	False	False	True	
sample	e9fe8301-125a-40c6-9a42-9b9296c9ebfb	321	9.725256	319	158.589	160.2325	signal_negative	False	False	True	
sample	1ab25eda-5fa8-4c95-85c1-ac0967dfeac7	420	9.395603	199	158.4825	159.856	data_service_unblock_mux_change	False	False	True	
sample	79441b9d-67da-4a6e-987a-d7ca6bbb5854	437	11.336466	193	158.336	159.77425000000002	signal_negative	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	fede3ee4-a2d5-4db4-bf2c-fb9c37cd221d	530	11.374691	191	158.84175	160.48825	signal_negative	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	bfc95c94-ec7a-47d3-ad68-b6b32bfdf0d9	526	9.421308	52	158.79075	160.23975000000002	data_service_unblock_mux_change	False	False	True	
sample	97b77528-1033-4b11-a85e-0fdf97048dc1	774	10.744425	448	158.27175	160.50775	signal_positive	False	False	True	
sample	a6715801-21b9-4ab9-921f-8658c7c67923	2325	11.183013	284	154.536	160.232	signal_positive	True	True	True	NC_001416.1
